('Market Cap', '3.515T')
         629954 function calls (605540 primitive calls) in 3.647 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      544    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      988    0.000    0.000    0.000    0.000 css_match.py:471(supports_namespaces)
      403    0.000    0.000    0.000    0.000 __init__.py:1068(handle_data)
       58    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
      184    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
      271    0.000    0.000    0.000    0.000 css_parser.py:332(match)
       61    0.000    0.000    0.001    0.000 enum.py:1596(__or__)
      401    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
     1022    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      218    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
    85/40    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       45    0.000    0.000    0.002    0.000 typing.py:1634(__getitem__)
        1    0.000    0.000    0.061    0.061 css_parser.py:1(<module>)
       31    0.000    0.000    0.000    0.000 contextlib.py:145(__exit__)
      254    0.000    0.000    0.156    0.001 __init__.py:287(compile)
      516    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      342    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
       70    0.000    0.000    0.001    0.000 css_parser.py:520(parse_tag_pattern)
      259    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       76    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        3    0.000    0.000    0.012    0.004 utils.py:1(<module>)
      440    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      988    0.000    0.000    0.000    0.000 css_match.py:237(get_tag_name)
      220    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      368    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      200    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      441    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      443    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
