('Market Cap', '3.515T')
         625347 function calls (600917 primitive calls) in 7.672 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    7.672    7.672 financial.py:1(<module>)
       51    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
      167    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1215(get_data)
       21    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
     1449    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1157    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      961    0.000    0.000    0.001    0.000 element.py:2007(is_empty_element)
     2774    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      381    0.000    0.000    0.001    0.000 __init__.py:735(string_container)
    167/3    0.000    0.000    0.308    0.103 <frozen importlib._bootstrap_external>:1021(exec_module)
       65    0.000    0.000    0.023    0.000 css_match.py:1383(select)
  194/190    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      953    0.000    0.000    0.001    0.000 typing.py:1294(_is_dunder)
      729    0.000    0.000    0.001    0.000 enum.py:1589(_get_value)
      334    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
        6    0.000    0.000    0.000    0.000 utils.py:361(cut_sequence_chunks)
     1723    0.000    0.000    0.001    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
     1047    0.000    0.000    0.000    0.000 {built-in method unicodedata.name}
     1900    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
      411    0.000    0.000    0.001    0.000 _parser.py:264(getwhile)
      897    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      184    0.000    0.000    0.049    0.000 _compiler.py:576(_code)
       49    0.000    0.000    1.434    0.029 socket.py:706(readinto)
      258    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
      501    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
     1007    0.000    0.000    0.001    0.000 css_match.py:87(is_doc)
       37    0.000    0.000    0.363    0.010 response.py:1324(_update_chunk_length)
      988    0.000    0.000    0.001    0.000 css_match.py:476(get_tag_ns)
        1    0.000    0.000    0.131    0.131 element.py:1(<module>)
      258    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
     1841    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      140    0.000    0.000    0.001    0.000 css_parser.py:357(__init__)
      363    0.000    0.000    0.000    0.000 enum.py:829(__setattr__)
      745    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      184    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       41    0.000    0.000    0.001    0.000 cd.py:120(get_target_features)
      260    0.000    0.000    0.001    0.000 enum.py:695(__call__)
      962    0.000    0.000    0.000    0.000 __init__.py:636(set_up_substitutions)
  209/170    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
     1401    0.000    0.000    0.000    0.000 element.py:3090(descendants)
        2    0.000    0.000    0.001    0.000 cookiejar.py:467(parse_ns_headers)
      653    0.000    0.000    0.001    0.000 utils.py:27(is_accentuated)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
  760/694    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
