('Market Cap', '3.515T')
         620852 function calls (597109 primitive calls) in 1.927 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      441    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      440    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      437    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      433    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
      432    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:632(cached)
      426    0.000    0.000    0.001    0.000 enum.py:37(_is_descriptor)
      424    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
      424    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      420    0.000    0.000    0.000    0.000 _parser.py:264(getwhile)
      409    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      404    0.000    0.000    0.000    0.000 enum.py:1217(__init__)
      403    0.000    0.000    0.000    0.000 __init__.py:1068(handle_data)
      389    0.000    0.000    0.000    0.000 _htmlparser.py:222(handle_data)
      381    0.001    0.000    0.001    0.000 __init__.py:870(object_was_parsed)
      381    0.001    0.000    0.001    0.000 __init__.py:735(string_container)
      381    0.001    0.000    0.005    0.000 element.py:1478(__new__)
      378    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      364    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      354    0.000    0.000    0.003    0.000 typing.py:789(<genexpr>)
      336    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      333    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
      320    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      319    0.001    0.000    0.004    0.000 css_parser.py:999(selector_iter)
      317    0.002    0.000    0.004    0.000 typing.py:260(_collect_type_parameters)
      309    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      308    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      308    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
      308    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:304(acquire)
      308    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      308    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      308    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      308    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      308    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      308    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      308    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
      308    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
      307    0.000    0.000    0.000    0.000 element.py:2414(__bool__)
      302    0.000    0.000    0.000    0.000 css_parser.py:300(get_name)
      298    0.000    0.000    0.000    0.000 css_parser.py:236(css_unescape)
      289    0.000    0.000    0.000    0.000 css_match.py:229(get_parent)
      281    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      280    0.000    0.000    0.002    0.000 typing.py:1307(__init__)
      277    0.000    0.000    0.001    0.000 typing.py:1122(_is_unpacked_typevartuple)
      276    0.001    0.000    0.008    0.000 typing.py:1423(__init__)
    272/7    0.002    0.000    0.300    0.043 <frozen importlib._bootstrap>:1349(_find_and_load)
    271/6    0.001    0.000    0.300    0.050 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      271    0.002    0.000    0.120    0.000 __init__.py:330(_compile)
      271    0.000    0.000    0.000    0.000 css_parser.py:332(match)
      271    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      271    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      271    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:416(__enter__)
      269    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      268    0.000    0.000    0.000    0.000 enum.py:1156(__new__)
      268    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
      268    0.000    0.000    0.001    0.000 enum.py:695(__call__)
      268    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      266    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      266    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      266    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      266    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      262    0.000    0.000    0.120    0.000 __init__.py:287(compile)
      257    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      252    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1605(<genexpr>)
      248    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
      248    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      247    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      247    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
